esriid,pctHHInc0,pctHHInc10,pctHHInc15,pctHHInc25,pctHHInc35,pctHHInc50,pctHHInc75,pctHHInc100,pctHHInc150,pctHHInc200,pctNumHHEarnings,pctNumHHPubAssist,pctNumHHFoodStmp,MedianHHInc,AvgHHInc,pctFamHHs,pctFamHHInc0,pctFamHHInc10,pctFamHHInc15,pctFamHHInc25,pctFamHHInc35,pctFamHHInc50,pctFamHHInc75,pctFamHHInc100,pctFamHHInc150,pctFamHHInc200,MedianFamInc,AvgFamInc,PCI,pctFullTimeWorkersMale,pctFullTimeWorkersFemale,MedianEarningsMale,MedianEarningsFemale,pctPoor,pctPoorUnder18,pctPoor18to64,pctPoorOver65,LaborForce,pctOwnKidsU6AllPrntsWk,pctOwnKidsO6AllPrntsWk,pctNotInsuredUnder65,pctNotInsuredUnder18
  ,pctHHInc0,pctHHInc10,pctHHInc15,pctHHInc25,pctHHInc35,pctHHInc50,pctHHInc75,pctHHInc100,pctHHInc150,pctHHInc200,pctNumHHEarnings ,pctNumHHPubAssist ,pctNumHHFoodStmp ,Median household income ,Mean household income ,pctFamHHs ,pctFamHHInc0,pctFamHHInc10,pctFamHHInc15,pctFamHHInc25,pctFamHHInc35,pctFamHHInc50,pctFamHHInc75,pctFamHHInc100,pctFamHHInc150,pctFamHHInc200,Median family income ,Mean family income ,Per-capita income ,pctFullTimeWorkersMale ,pctFullTimeWorkersFemale ,Median earnings for male full-time year-round workers ,Median earnings for female full-time year-round workers ,pctPoor ,pctPoorUnder18,pctPoor18to64,pctPoorOver65,In labor force ,pctOwnKidsU6AllPrntsWk,pctOwnKidsO6AllPrntsWk,pctNotInsuredUnder65,pctNotInsuredUnder18
10308,3.50,2.80,7.40,5.70,7.40,16.80,14.80,20.90,12.90,7.80,78.00,1.40,5.70,85814.00,101261.00,76.20,2.10,1.20,5.50,3.90,6.20,18.50,15.90,22.60,14.40,9.80,95985.00,112902.00,36756.00,53.60,46.40,71952.00,53375.00,7.30,9.90,6.60,6.90,15063.00,66.60,61.00,5.90,1.20
10309,4.60,3.40,5.40,4.90,7.60,14.90,15.70,19.20,11.40,13.00,81.60,1.10,6.30,87536.00,111477.00,79.50,3.00,2.60,4.80,3.30,7.90,13.70,14.10,21.70,13.90,15.00,100962.00,123233.00,37508.00,61.00,39.00,78479.00,57104.00,9.60,9.50,8.70,15.50,15602.00,46.70,50.00,5.20,1.30
10310,11.10,4.10,10.90,7.90,7.90,14.00,13.40,16.50,9.40,4.80,79.00,4.60,22.40,64724.00,78919.00,74.80,8.50,2.80,8.70,7.80,6.70,13.50,14.40,20.50,11.40,5.60,76918.00,88483.00,27220.00,57.60,42.40,65379.00,51011.00,21.90,32.00,19.20,12.20,11828.00,66.00,60.70,12.40,3.70
10311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
10312,4.00,2.90,5.20,5.50,8.80,15.60,15.00,22.00,11.60,9.50,79.70,1.40,4.30,87946.00,103272.00,80.10,2.50,1.70,3.20,4.40,8.00,14.80,15.50,25.00,13.70,11.10,99701.00,114103.00,36127.00,57.30,42.70,70862.00,54517.00,7.20,10.30,6.10,7.10,30372.00,64.00,61.50,4.90,3.20
10314,4.60,3.40,6.70,6.70,9.90,16.30,14.40,20.20,11.10,6.70,80.10,2.30,8.40,78962.00,94547.00,75.80,2.20,2.00,4.20,5.80,8.60,16.00,15.70,23.60,13.60,8.30,93063.00,106966.00,33822.00,56.40,43.60,65489.00,52745.00,7.90,9.50,6.90,9.90,42886.00,57.60,66.40,7.80,3.30
10451,20.00,12.80,14.80,11.70,14.30,13.80,6.70,4.10,0.90,0.80,65.80,9.10,46.10,27197.00,39062.00,58.60,14.30,10.70,16.70,13.50,15.40,15.10,8.30,4.10,1.10,1.00,32000.00,41114.00,15672.00,50.10,49.90,33421.00,34442.00,34.70,44.90,29.50,38.50,19903.00,62.60,67.90,15.90,2.70
10452,18.30,13.00,18.70,13.50,13.90,12.70,4.90,3.90,0.70,0.30,72.90,10.60,52.90,24965.00,35555.00,68.50,14.90,12.10,19.40,15.50,13.70,14.10,5.10,4.10,0.80,0.30,26621.00,36939.00,12942.00,55.80,44.20,30604.00,29861.00,40.10,49.60,35.70,38.90,32408.00,62.50,64.90,17.20,4.40
10453,20.90,12.20,17.20,13.90,12.90,12.80,6.20,3.10,0.70,0.30,73.90,10.50,51.10,24741.00,33985.00,68.20,16.10,11.50,19.60,13.70,15.30,13.80,6.10,2.90,0.70,0.30,27639.00,35664.00,12459.00,51.40,48.60,27717.00,26164.00,41.20,54.50,36.20,35.60,37149.00,68.40,69.00,19.40,4.50
10454,24.90,14.50,20.70,10.90,11.70,8.60,4.60,2.20,1.20,0.80,63.80,10.20,54.50,19536.00,31670.00,69.40,23.70,11.80,20.00,11.20,14.40,8.90,5.30,2.10,1.50,1.00,22914.00,34166.00,11429.00,59.60,40.40,27100.00,26864.00,48.70,62.20,42.80,42.70,14719.00,58.10,55.10,20.90,4.40
10455,24.00,12.50,16.60,12.80,12.70,12.20,4.50,3.80,0.40,0.50,63.10,9.90,54.20,22996.00,33128.00,65.10,18.90,11.10,16.90,13.80,14.00,14.50,4.90,5.00,0.40,0.60,27197.00,36700.00,12442.00,53.70,46.30,25100.00,30932.00,40.60,52.50,35.20,38.80,15914.00,57.70,64.00,18.80,2.90
10456,22.40,12.60,17.80,12.60,12.50,12.10,4.60,3.90,1.30,0.10,69.70,13.40,53.50,22962.00,34536.00,69.10,17.30,11.30,18.50,14.80,12.90,13.60,5.70,4.40,1.20,0.20,26473.00,37555.00,12157.00,53.70,46.30,26999.00,29577.00,42.10,54.90,36.80,34.70,36774.00,64.70,67.30,15.40,3.70
10457,20.00,12.00,18.20,12.80,14.40,11.70,5.10,4.40,1.10,0.30,70.40,11.00,52.50,24883.00,36013.00,67.60,16.00,10.70,19.20,13.00,15.70,12.10,6.20,5.30,1.50,0.20,28147.00,38358.00,12768.00,53.00,47.00,29367.00,29396.00,40.60,51.80,36.40,33.00,29762.00,61.40,68.70,16.70,4.40
10458,19.50,13.00,17.70,10.90,12.40,13.10,6.90,5.00,0.90,0.50,70.60,9.00,47.00,24829.00,37866.00,63.00,15.70,11.40,18.70,12.80,13.00,14.90,7.60,4.80,0.60,0.40,28988.00,39553.00,14046.00,56.20,43.80,33695.00,31373.00,39.30,51.40,34.60,37.80,33960.00,54.70,65.90,19.10,4.60
10459,22.90,11.80,17.40,11.80,12.00,13.70,4.30,4.50,0.90,0.60,67.10,9.10,53.80,23400.00,36133.00,69.90,17.30,10.10,19.30,13.30,14.10,15.40,4.40,4.50,0.80,0.70,26918.00,38651.00,12616.00,53.00,47.00,28231.00,28980.00,40.90,49.00,36.60,41.70,18775.00,59.60,67.30,16.80,3.50
10460,22.00,13.00,17.50,12.50,11.60,12.80,5.00,4.30,0.90,0.50,69.30,10.00,51.90,23289.00,34899.00,69.40,17.90,11.40,18.70,14.70,13.90,12.50,5.50,4.00,1.00,0.50,26034.00,36116.00,12795.00,52.50,47.50,29972.00,28700.00,41.40,53.00,36.50,38.00,26339.00,71.20,74.60,18.00,5.60
10461,8.10,5.40,9.90,11.00,13.70,16.40,12.70,15.10,4.20,3.50,75.20,3.20,15.10,52230.00,69608.00,62.20,6.70,3.60,8.00,8.60,13.10,15.40,15.30,19.30,5.20,4.70,64428.00,80348.00,27484.00,56.90,43.10,45547.00,45705.00,16.10,24.80,13.40,15.50,26929.00,70.50,70.60,14.30,6.70
10462,11.50,7.10,10.40,10.60,15.60,18.80,12.50,9.40,2.60,1.40,78.20,3.60,24.90,45234.00,55313.00,60.20,8.10,5.60,10.50,11.00,15.20,17.70,13.90,11.80,4.10,2.10,49470.00,62669.00,22296.00,51.10,48.90,43988.00,41105.00,21.10,27.80,18.60,21.30,39641.00,63.30,70.10,14.00,3.60
10463,8.20,5.70,11.30,9.00,12.00,17.00,12.50,12.30,6.30,5.70,75.00,4.30,21.50,55354.00,77506.00,60.10,6.10,4.40,9.90,8.30,11.40,18.10,11.90,13.80,7.90,8.30,63201.00,89718.00,31572.00,50.90,49.10,52195.00,49624.00,18.00,25.70,16.40,13.30,35702.00,73.90,76.60,12.80,3.30
10464,5.60,4.10,9.50,3.60,4.30,22.00,11.50,27.30,6.50,5.60,76.20,0.50,4.30,75696.00,90265.00,52.20,0.00,0.00,2.00,2.50,2.30,26.30,7.20,45.60,6.70,7.40,107844.00,114898.00,43196.00,46.60,53.40,67066.00,70615.00,4.10,0.00,3.10,10.40,2512.00,85.00,67.40,8.40,0.00
10465,7.30,5.90,9.70,5.60,10.50,13.80,14.60,20.70,6.60,5.20,75.70,2.30,13.20,68831.00,82114.00,68.10,5.50,3.50,6.60,5.30,8.50,14.70,16.40,23.10,9.20,7.10,84183.00,94989.00,30235.00,52.60,47.40,59476.00,50994.00,13.90,22.50,11.40,11.50,22565.00,75.50,73.20,9.70,3.50
10466,13.30,7.10,11.40,10.40,13.40,17.40,12.00,9.60,3.80,1.70,77.20,5.50,26.90,42587.00,55669.00,71.50,10.20,4.10,9.90,9.90,14.50,18.50,14.70,11.10,5.10,2.00,51087.00,62951.00,19944.00,46.40,53.60,42731.00,38423.00,21.60,31.00,18.20,19.50,33987.00,67.30,75.40,14.30,4.30
10467,15.70,8.70,13.80,10.70,13.60,17.60,9.70,7.70,1.70,0.80,74.70,7.40,36.80,35852.00,47788.00,65.30,12.10,6.60,14.20,11.60,14.30,19.40,9.80,9.00,2.20,0.80,38797.00,51897.00,18103.00,52.70,47.30,37894.00,37986.00,28.10,38.60,24.50,23.00,47668.00,62.00,68.60,17.30,3.30
10468,15.00,9.80,13.90,12.80,15.00,16.60,10.00,5.10,1.00,0.80,78.60,7.10,41.60,33585.00,43225.00,67.30,11.40,9.80,15.50,13.00,15.10,17.00,11.10,4.90,1.20,1.10,35197.00,45150.00,15710.00,56.00,44.00,31058.00,32380.00,32.90,46.00,28.30,29.20,36359.00,72.70,71.40,20.50,3.70
10469,9.40,4.00,9.60,8.70,12.50,19.00,13.70,14.40,5.70,3.20,78.50,4.30,20.60,57680.00,69954.00,75.10,6.40,2.40,7.60,7.90,12.90,20.00,15.90,16.60,6.60,3.80,64020.00,77575.00,23044.00,48.90,51.10,45918.00,41909.00,13.20,19.00,11.60,9.90,36213.00,79.10,77.30,11.90,4.00
10470,7.00,6.20,7.90,10.00,11.10,19.10,15.30,15.60,5.60,2.30,76.50,2.60,13.30,58330.00,70004.00,56.40,4.80,4.20,7.00,7.60,11.60,16.20,18.00,18.70,7.90,4.10,70424.00,82000.00,28926.00,53.30,46.70,49324.00,46658.00,12.20,18.70,10.40,10.30,8037.00,80.70,73.70,16.30,4.20
10471,6.50,3.40,5.70,6.30,12.00,16.60,15.00,18.20,5.90,10.30,75.30,0.50,7.00,73684.00,100733.00,50.90,3.30,2.30,2.70,6.40,8.50,14.20,14.40,22.00,8.50,17.90,97429.00,131858.00,41945.00,49.90,50.10,70931.00,69080.00,9.30,8.60,9.20,10.10,10703.00,68.80,73.50,7.40,3.90
10472,17.00,9.90,16.50,11.40,13.00,14.50,7.90,7.20,1.50,1.10,72.00,9.30,41.80,30541.00,43989.00,71.00,12.60,8.10,18.10,12.00,13.80,16.10,8.00,8.30,1.70,1.30,34331.00,47410.00,14970.00,60.50,39.50,27165.00,31244.00,34.70,48.40,30.20,25.80,31410.00,63.20,63.00,24.00,5.00
10473,13.70,8.60,14.10,11.40,12.80,15.40,8.90,10.40,2.80,1.90,72.30,5.30,33.90,36729.00,53120.00,71.10,10.90,6.80,12.70,12.50,13.30,16.60,10.00,11.40,3.30,2.50,42843.00,58139.00,19760.00,48.70,51.30,41299.00,37948.00,27.10,38.50,24.30,20.70,25708.00,64.70,71.00,11.80,2.90
10474,19.20,14.70,13.70,15.10,13.40,15.40,4.50,3.50,0.20,0.30,73.00,9.60,47.10,26460.00,34096.00,71.90,14.70,13.10,12.90,17.80,15.10,16.90,6.40,2.60,0.00,0.40,30306.00,36439.00,11609.00,60.90,39.10,30822.00,27017.00,41.40,51.20,37.30,37.10,4629.00,49.10,64.00,17.90,2.00
10475,7.90,5.90,10.60,13.00,16.20,17.70,12.70,9.90,4.10,1.90,69.80,2.50,13.50,45886.00,59944.00,56.50,5.70,2.00,6.90,10.80,15.30,18.10,16.20,14.60,6.90,3.20,59973.00,75528.00,26215.00,44.60,55.40,46543.00,46757.00,10.20,13.80,9.30,10.50,22078.00,79.40,85.60,8.90,2.70
11004,3.50,2.70,6.70,8.70,11.80,13.40,13.80,21.40,10.60,7.30,79.10,1.10,4.00,82054.00,95851.00,63.90,1.20,2.00,5.70,3.60,7.50,13.40,15.20,29.30,13.70,8.20,101368.00,110708.00,36326.00,51.20,48.80,61333.00,54662.00,9.20,14.40,8.20,7.30,7258.00,68.40,75.00,9.40,4.10
11005,1.10,4.60,13.30,4.80,13.80,22.20,12.80,17.20,3.60,6.70,24.50,0.50,1.20,61587.00,92034.00,28.70,0.00,0.00,10.80,5.40,12.30,14.70,19.00,12.90,10.30,14.70,87222.00,128461.00,70320.00,48.90,51.10,45781.00,67159.00,1.30,,0.00,1.40,409.00,,,0.00,
11101,12.80,8.00,10.90,10.10,8.80,12.90,11.40,11.80,6.60,6.70,78.80,5.60,19.00,48509.00,73313.00,47.20,8.30,7.30,11.10,11.70,10.70,11.80,10.70,10.90,8.60,8.70,50856.00,82611.00,34276.00,56.70,43.30,53455.00,47649.00,21.60,27.80,19.40,27.70,14699.00,63.80,70.20,19.10,3.20
11102,7.90,5.10,11.20,11.40,14.20,16.60,10.90,13.10,6.00,3.60,84.00,3.50,15.10,50160.00,68309.00,53.80,4.00,4.10,12.30,12.20,16.70,17.90,8.10,13.70,6.20,4.80,50536.00,72714.00,28118.00,60.60,39.40,45572.00,47309.00,18.60,26.40,17.20,15.80,21732.00,49.90,59.50,22.70,4.10
11103,5.80,4.00,10.10,9.10,14.20,20.20,14.00,13.80,4.90,3.90,83.90,2.50,8.20,57733.00,72396.00,47.10,3.20,3.10,11.00,7.40,16.20,19.10,14.30,16.20,5.00,4.50,61358.00,77345.00,32578.00,57.70,42.30,50141.00,45739.00,14.40,24.40,13.50,9.20,25039.00,50.90,63.30,22.60,4.90
11104,6.20,5.70,11.60,9.20,12.30,18.40,14.20,13.90,5.00,3.60,83.70,2.90,9.80,56578.00,71040.00,50.60,2.00,5.00,12.00,8.40,11.60,18.90,14.50,16.60,6.60,4.30,63024.00,79777.00,31798.00,56.30,43.70,41749.00,49886.00,13.80,20.60,12.20,14.80,16357.00,59.70,64.40,24.50,5.70
11105,7.40,4.20,9.10,8.00,12.50,20.50,11.30,16.70,6.30,3.90,82.70,1.60,8.80,60247.00,75740.00,52.10,4.60,2.70,7.90,9.10,13.70,17.80,11.60,18.70,8.50,5.40,64994.00,85685.00,33350.00,53.80,46.20,52463.00,49867.00,13.50,17.20,13.30,10.20,22455.00,49.70,70.60,17.20,3.70
11106,10.10,6.50,11.10,6.70,13.50,17.60,12.80,14.10,4.70,3.10,79.80,3.10,14.90,52399.00,68551.00,49.70,7.00,5.50,10.60,8.70,14.30,17.40,11.70,14.60,6.20,4.00,53723.00,73130.00,31376.00,56.50,43.50,50821.00,46264.00,20.00,33.50,16.70,22.90,23743.00,59.40,62.40,19.40,4.90
11109,8.80,1.50,0.70,1.50,3.90,8.70,13.80,20.20,8.10,32.80,92.00,2.80,0.80,128693.00,164048.00,35.90,1.80,1.30,0.00,0.00,0.00,3.20,12.20,23.90,10.50,47.10,187422.00,231197.00,91699.00,56.70,43.30,110875.00,82845.00,8.80,0.00,9.80,11.30,3279.00,47.10,48.90,12.60,17.40
11201,5.70,3.60,6.20,5.10,7.70,11.60,10.40,16.40,10.50,22.70,85.40,2.40,8.00,98775.00,151787.00,45.60,3.30,2.30,4.70,4.40,5.40,8.20,8.00,15.00,14.20,34.40,143276.00,206972.00,68287.00,52.80,47.20,95428.00,76996.00,14.30,17.00,14.10,11.50,34220.00,68.70,67.10,7.90,1.70
11203,11.00,5.60,10.90,10.30,15.30,16.70,12.60,11.80,3.70,2.20,77.70,3.80,18.40,46630.00,60629.00,67.60,6.50,4.10,8.60,10.00,15.40,18.00,15.60,14.30,4.60,2.90,56355.00,69865.00,22555.00,43.70,56.30,44835.00,40504.00,17.20,24.10,15.00,16.50,37963.00,71.50,78.80,15.40,3.70
11204,7.90,7.00,14.70,10.80,12.90,17.80,10.30,10.90,4.50,3.10,77.70,4.20,22.80,45593.00,63616.00,76.30,4.60,6.10,13.00,10.70,14.20,18.70,11.00,12.60,5.40,3.80,51441.00,70116.00,20284.00,59.70,40.30,41260.00,38663.00,22.80,34.00,18.70,18.80,35441.00,38.90,52.70,13.10,3.30
11205,12.50,7.70,11.80,10.10,9.70,12.80,10.40,12.90,5.60,6.50,79.40,6.10,28.40,47050.00,73083.00,55.30,9.40,8.40,13.10,10.00,9.70,12.00,9.10,14.30,5.70,8.10,49246.00,80419.00,26331.00,56.60,43.40,45470.00,50445.00,34.50,53.20,27.90,21.90,21272.00,47.70,54.80,12.90,1.80
11206,17.40,10.50,15.70,11.40,13.00,12.60,7.10,7.80,3.00,1.50,71.40,6.90,39.70,30686.00,47277.00,59.60,13.00,9.90,18.10,13.70,15.80,13.00,5.90,7.10,2.00,1.40,31419.00,46287.00,17241.00,53.50,46.50,38176.00,36510.00,35.80,51.90,29.10,33.50,37848.00,52.20,60.00,16.00,3.00
11207,19.60,8.60,12.30,10.50,14.00,15.60,8.70,8.00,1.90,0.90,71.70,9.70,36.60,33816.00,45940.00,70.00,16.30,7.30,13.20,9.90,14.00,16.50,9.90,9.50,2.40,1.10,38132.00,50587.00,16386.00,47.30,52.70,36069.00,34944.00,33.20,45.90,28.20,29.40,40659.00,56.10,65.60,14.80,4.90
11208,20.60,6.30,12.70,10.90,14.70,15.50,8.60,7.60,1.90,1.30,72.10,6.50,23.70,34527.00,45934.00,72.50,16.00,5.70,13.10,11.40,15.30,17.20,9.10,8.60,2.30,1.40,38268.00,49905.00,15154.00,49.90,50.10,34560.00,33542.00,33.60,42.90,29.60,30.20,37588.00,52.40,55.50,13.20,3.10
11209,7.70,4.70,10.20,8.00,11.10,17.20,12.10,14.00,7.50,7.50,77.00,3.30,12.20,59934.00,84945.00,54.90,4.60,3.00,8.10,6.60,10.80,16.20,12.40,16.20,11.10,11.10,76603.00,101621.00,36870.00,57.70,42.30,59205.00,58381.00,15.60,20.80,13.90,15.90,37567.00,56.50,53.70,11.40,2.00
11210,7.30,4.30,8.40,9.90,14.40,19.30,13.10,13.00,5.70,4.60,83.50,5.50,22.00,56052.00,75085.00,71.10,4.80,3.50,5.90,8.30,14.70,19.50,15.00,15.30,7.30,5.70,65007.00,85802.00,25229.00,50.70,49.30,44449.00,41609.00,15.10,21.10,13.30,11.60,31792.00,63.50,66.80,6.80,1.30
11211,10.30,9.70,10.70,9.30,9.40,14.20,10.20,12.70,6.20,7.30,82.30,3.50,26.60,50943.00,77466.00,50.20,7.90,10.30,14.50,12.50,11.70,12.80,7.00,11.40,4.60,7.30,41230.00,72451.00,30557.00,54.60,45.40,56160.00,49715.00,31.60,52.00,24.20,31.10,50467.00,45.10,46.70,12.20,2.70
11212,20.20,11.00,14.20,12.80,13.50,13.60,7.60,4.60,1.60,1.00,68.50,9.30,39.70,28146.00,40233.00,68.50,16.40,9.10,14.90,13.60,13.10,14.30,9.40,5.80,1.90,1.30,31563.00,45040.00,15814.00,38.90,61.10,36351.00,33712.00,35.40,47.80,31.00,28.90,35253.00,61.60,68.40,15.00,4.50
11213,16.00,9.80,12.40,12.00,14.10,16.70,9.20,6.20,2.50,1.00,73.40,7.70,31.90,34804.00,47297.00,59.10,11.70,7.70,11.50,10.80,15.70,18.40,10.70,8.50,3.50,1.50,41430.00,55088.00,18635.00,49.10,50.90,41084.00,35731.00,27.40,32.50,25.80,24.50,28044.00,55.80,65.40,15.50,4.30
11214,9.10,7.40,11.40,10.80,14.30,18.00,10.50,11.80,4.10,2.70,73.40,4.50,21.60,45838.00,62934.00,69.40,5.70,5.20,9.30,11.20,15.60,19.50,11.80,13.90,4.90,3.00,54105.00,68794.00,23134.00,58.20,41.80,42280.00,37340.00,18.60,27.40,15.90,18.40,41549.00,50.70,56.10,15.70,5.80
11215,4.00,2.90,3.40,4.30,8.00,14.60,13.30,18.30,12.30,18.90,89.30,1.20,5.80,99040.00,139886.00,55.00,2.50,2.00,2.60,3.40,6.70,11.20,10.20,19.50,15.00,26.80,126566.00,172546.00,58737.00,54.20,45.80,75150.00,70312.00,8.20,7.40,7.90,13.30,45292.00,76.00,75.70,9.80,2.60
11216,11.60,7.60,10.60,10.20,13.20,17.80,10.60,10.40,4.70,3.20,78.00,5.50,22.50,45566.00,63003.00,47.30,10.90,5.70,7.60,10.30,13.10,19.40,10.80,11.20,5.70,5.30,51622.00,72587.00,28134.00,48.10,51.90,45558.00,41808.00,21.90,27.80,19.80,27.30,31882.00,73.40,78.80,18.40,4.70
11217,6.80,4.00,6.60,6.40,8.10,12.00,12.10,17.40,9.70,16.90,86.80,3.50,11.80,85199.00,120590.00,48.80,4.60,4.90,6.30,4.90,8.10,11.90,9.20,17.60,8.80,23.60,100250.00,141900.00,53380.00,52.70,47.30,78096.00,64967.00,14.60,19.90,12.80,19.60,24225.00,68.70,67.90,10.60,2.70
11218,8.10,6.50,11.90,8.90,11.70,15.00,14.10,13.30,5.50,4.80,83.30,3.20,19.40,54441.00,72945.00,65.30,4.70,6.50,12.80,9.30,12.00,13.00,13.70,14.90,7.10,6.10,60340.00,80881.00,24828.00,58.70,41.30,42493.00,48722.00,22.50,32.00,18.90,19.60,36202.00,49.80,61.70,16.10,2.60
11219,9.20,10.20,16.90,13.70,14.70,15.60,7.70,7.50,2.60,2.00,80.50,7.10,35.70,35083.00,51454.00,77.60,7.20,8.60,17.00,15.30,14.70,16.60,7.80,8.00,2.60,2.20,36644.00,53230.00,14419.00,63.40,36.60,31292.00,30985.00,36.10,48.40,30.30,24.00,39038.00,45.00,48.30,12.50,1.90
11220,9.90,8.60,15.80,12.80,14.70,15.10,9.20,8.90,3.00,2.10,81.50,4.70,30.40,38052.00,53315.00,75.00,7.80,7.90,18.10,14.40,15.60,15.10,8.20,7.80,3.00,2.10,36441.00,52151.00,16257.00,64.30,35.70,27122.00,30925.00,32.00,44.00,27.70,32.10,50401.00,56.70,61.60,23.30,4.30
11221,16.10,6.90,12.90,10.10,13.20,16.50,9.90,9.60,2.80,1.90,73.80,6.10,36.90,39785.00,53275.00,61.10,11.20,5.60,13.70,10.90,13.10,19.20,10.70,10.10,2.80,2.60,44648.00,57790.00,19340.00,49.70,50.30,37236.00,37520.00,27.00,37.50,22.80,30.50,42723.00,73.50,77.30,18.20,4.40
11222,7.60,4.30,8.10,8.10,9.70,16.80,16.20,17.80,6.30,5.20,83.80,1.30,6.40,66610.00,80886.00,39.70,3.50,3.20,8.00,8.30,7.40,16.00,18.10,21.60,7.30,6.60,78742.00,90769.00,40119.00,54.80,45.20,55147.00,53449.00,12.70,13.60,11.30,23.70,23448.00,68.20,60.00,20.70,7.50
11223,11.50,7.30,13.60,11.70,13.70,16.30,9.40,9.90,3.20,3.30,70.70,3.70,21.60,40873.00,61705.00,70.30,5.70,5.40,12.20,11.90,14.70,18.70,10.70,12.70,3.70,4.40,50209.00,71980.00,22570.00,60.00,40.00,41863.00,37574.00,19.50,25.80,17.00,19.60,33999.00,42.60,49.00,15.60,5.90
11224,20.50,11.40,15.50,7.70,12.40,13.80,6.20,7.20,3.80,1.60,59.40,5.30,39.70,27011.00,47290.00,57.90,9.20,10.30,13.60,8.50,14.30,16.00,8.50,11.40,5.80,2.30,42689.00,59893.00,20916.00,47.00,53.00,43122.00,39824.00,29.80,38.10,24.70,36.00,18299.00,70.60,69.20,10.70,2.20
11225,9.50,6.90,12.40,11.50,15.10,18.90,11.20,9.30,2.30,2.80,80.60,4.40,21.20,43543.00,59118.00,57.90,5.60,5.00,12.00,11.30,15.00,19.70,12.90,11.60,3.00,3.80,50988.00,67326.00,23552.00,47.90,52.10,40462.00,42207.00,21.60,30.90,19.80,15.20,32831.00,68.60,74.50,17.00,4.70
11226,11.30,6.40,12.10,11.80,15.10,19.60,10.10,9.00,3.00,1.50,81.40,5.00,29.10,42182.00,55874.00,63.00,7.80,5.10,11.00,11.70,15.70,21.30,10.90,10.90,4.00,1.70,48552.00,62155.00,21483.00,47.00,53.00,38464.00,35741.00,20.20,27.10,17.60,21.90,52711.00,71.90,77.50,20.50,4.80
11228,4.50,4.80,10.80,7.80,10.90,17.80,12.00,16.60,7.70,7.20,77.70,2.60,11.70,62821.00,86920.00,73.40,2.20,3.60,9.30,7.00,10.00,18.50,12.40,18.30,9.70,9.10,74211.00,98023.00,29683.00,59.70,40.30,53369.00,50799.00,11.90,17.00,10.80,9.70,22479.00,59.10,61.00,9.10,1.50
11229,8.50,7.00,11.70,8.30,12.60,17.20,10.80,14.30,4.80,4.80,74.70,3.30,18.30,51985.00,70010.00,67.70,4.20,4.90,10.40,8.10,12.40,17.70,11.10,18.30,6.50,6.30,62806.00,81708.00,27246.00,56.90,43.10,51314.00,44454.00,15.00,21.10,12.10,18.60,39723.00,57.80,62.70,8.40,2.00
11230,12.30,8.20,12.80,10.50,11.80,15.00,10.00,9.90,4.50,5.00,75.30,2.70,24.60,41820.00,66750.00,66.00,5.60,6.70,12.00,11.90,12.10,15.20,11.10,12.50,6.10,6.90,52534.00,80220.00,23792.00,60.30,39.70,46350.00,40251.00,24.10,30.20,20.60,27.50,38187.00,43.90,49.80,14.10,4.10
11231,11.40,4.20,6.30,5.80,7.20,11.30,10.60,16.70,10.50,16.00,80.70,3.20,15.40,83383.00,118321.00,54.10,7.40,4.60,5.40,4.90,8.70,9.80,9.10,15.90,11.60,22.70,100553.00,146207.00,52748.00,51.30,48.70,81045.00,61233.00,16.30,19.10,14.20,27.50,20997.00,71.00,72.80,10.40,3.20
11232,7.40,5.10,13.10,13.40,16.50,17.60,11.80,10.20,2.50,2.30,87.10,3.60,27.90,44583.00,59324.00,68.70,6.10,4.40,17.40,14.70,15.60,17.60,8.90,10.20,3.10,2.10,41933.00,57882.00,19325.00,62.60,37.40,30083.00,33367.00,27.80,40.50,23.70,23.80,15346.00,57.10,63.20,25.50,5.40
11233,17.10,9.80,13.70,9.90,13.60,15.00,7.80,8.80,2.70,1.60,72.20,7.70,33.20,34432.00,49486.00,64.20,14.50,7.90,13.70,10.00,12.00,17.10,9.30,9.90,3.70,1.90,39712.00,55275.00,19696.00,42.80,57.20,41076.00,40852.00,30.80,41.90,26.50,29.80,32098.00,59.40,65.80,14.70,4.20
11234,5.50,3.10,7.90,8.80,11.80,17.80,13.20,17.80,8.60,5.60,80.90,2.10,11.40,67713.00,85437.00,75.50,2.90,1.80,5.60,7.40,12.30,18.00,13.50,21.30,10.50,6.70,78885.00,96004.00,29736.00,50.00,50.00,52862.00,50942.00,9.60,13.30,8.30,9.00,49267.00,64.80,78.30,10.50,4.20
11235,16.00,8.20,10.30,10.40,9.10,13.80,10.00,13.00,4.40,4.80,66.80,2.30,24.10,42257.00,67317.00,59.10,5.60,6.80,9.50,10.30,9.00,15.50,11.20,17.70,6.70,7.70,63335.00,87341.00,29182.00,52.00,48.00,53248.00,47291.00,22.00,23.70,17.30,34.30,35346.00,57.70,62.40,12.20,5.30
11236,8.20,3.90,7.80,8.80,13.50,18.30,14.80,14.80,6.70,3.20,85.60,3.20,16.20,60135.00,73164.00,76.40,6.70,2.70,6.30,8.00,13.30,18.60,15.90,16.30,8.20,4.00,66897.00,80066.00,24929.00,44.60,55.40,45228.00,44053.00,14.50,20.50,12.10,16.30,52503.00,72.80,80.10,12.90,5.00
