esriid,TotPop,pctAge0_4,pctAge5_9,pctAge10_14,pctAge15_19,pctAge20_24,pctAge25_34,pctAge35_44,pctAge45_54,pctAge55_59,pctAge60_64,pctAge65_74,pctAge75_84,pctOver85,pctOver5,pctOver15,pctUnder18,pctOver18,pctOver21,pctOver25,pctOver62,pctOver65,pctMales,pctOver18Males,pctFemales,pctOver18Females,pctHispanicPop,pctNonHispWhite,pctNonHispBlack,pctNonHispAmInd,pctNonHispAsian,pctNonHispHawnPI
  ,Total population ,pctAge0_4,pctAge5_9,pctAge10_14,pctAge15_19,pctAge20_24,pctAge25_34,pctAge35_44,pctAge45_54,pctAge55_59,pctAge60_64,pctAge65_74,pctAge75_84,pctOver85,pctOver5,pctOver15,pctUnder18,pctOver18,pctOver21,pctOver25,pctOver62,pctOver65,pctMales ,pctOver18Males,pctFemales ,pctOver18Females,pctHispanicPop ,pctNonHispWhite ,pctNonHispBlack ,pctNonHispAmInd ,pctNonHispAsian ,pctNonHispHawnPI
11416,25973,7.4,7.2,6.1,7.6,8.2,15,16.1,13,6.7,4.7,4.9,2.1,1,92.6,79.3,25.2,74.8,70.1,63.5,10.9,7.9,49.2,73.2,50.8,76.4,41.9,12.6,5.1,0.1,35.6,0
11417,31556,6.4,5.7,7,6.5,7.8,14.1,15.2,15,6.8,4.7,6.1,3.1,1.6,93.6,80.9,23.4,76.6,72.9,66.6,13.6,10.8,48.8,75.8,51.2,77.4,36.8,21.5,7.1,0.3,28.3,0
11418,36751,6.5,6.3,6.2,6.3,8,16.9,14.7,14.3,6.5,5.2,5.4,2.5,1.2,93.5,80.9,23,77,72.8,66.6,12.2,9.1,49.5,77.5,50.5,76.5,42.7,17.9,6.6,0.9,25.8,0
11419,48370,5.3,5,6.7,7.2,9.2,14.6,13.5,16.3,6.9,5.7,6.2,2.6,0.7,94.7,83,21.6,78.4,74,66.7,12.9,9.5,49.4,77.7,50.6,79,18.4,4.2,16.2,0.4,30.1,0.1
11420,50162,5.9,6,6.5,7.2,8.5,13.9,14,15,7.1,5.1,7,2.7,1.1,94.1,81.6,22.7,77.3,72.8,65.9,13.5,10.8,47.7,76.5,52.3,78.1,22.9,6.5,25.7,0.8,20,0.1
11421,42745,7.9,6.4,5.8,6.6,8.5,15.1,14.2,14,7.2,4.8,5.6,2.7,1.2,92.1,79.9,24.2,75.8,72,64.8,12,9.4,49,74,51,77.5,56.3,16.2,5.7,0.2,18.9,0
11422,32589,6.8,7.2,6,6.3,7.9,14.8,12.3,14.9,7.2,5.7,6.9,2.5,1.4,93.2,80,24.1,75.9,72,65.7,14,10.7,44.4,72.3,55.6,78.8,6.7,5,83.9,0.1,3.1,0
11423,32053,5.5,4.4,6.5,7,7.5,13.5,13.9,14.5,8.2,5.6,8.1,3.4,2,94.5,83.6,20.2,79.8,75.1,69.2,16.9,13.6,47.9,79.5,52.1,80.2,15.6,9.9,39.9,1.7,24.7,0.3
11424,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11425,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11426,19348,7.2,3.9,5.2,7,5.8,15.6,9.3,16.3,9.6,6.3,7,4,2.7,92.8,83.7,20.1,79.9,75.9,70.8,17.9,13.7,48.7,79.1,51.3,80.6,21,33.8,3.2,0.2,38.4,0
11427,23460,5.8,4.6,4.7,5.2,8,13.4,13.4,15.9,6.8,7.6,8.6,3.7,2.2,94.2,84.8,18.9,81.1,77.4,71.6,19.5,14.5,47.1,80.6,52.9,81.6,14.5,20.2,24.3,0,32.5,0
11428,20461,4.8,4.7,5,7.3,7.8,13.9,14.1,16.2,8.6,6.1,6.7,3.4,1.5,95.2,85.6,19.3,80.7,76.1,70.5,15,11.6,49.4,79.5,50.6,81.9,27.7,11,17.8,0.3,27.9,0.5
11429,27506,4.8,5.5,5.9,7.3,8.1,12.9,14.2,15.7,7,5.3,7.7,4.5,1.1,95.2,83.8,21,79,74.7,68.4,15.9,13.3,46.4,77.3,53.6,80.4,10.7,2,78.6,0.2,3.1,0
11430,171,0,0,0,0,13.5,20.5,18.1,24.6,11.7,7.6,4.1,0,0,100,100,0,100,96.5,86.5,11.7,4.1,81.3,100,18.7,100,30.4,7,62.6,0,0,0
11432,62395,6.9,5.5,5.6,8,8.2,14.6,13.1,14,6.5,4.1,7.6,3.9,2,93.1,82,21.4,78.6,72.1,65.8,16.1,13.5,47.5,76.3,52.5,80.6,26.2,12.5,15.6,0.3,39.4,0
