esriid,TotHUs,pctOccHUs,pctOwnerOcc,pctRenterOcc,AvgOwnerHHSize,AvgRenterHHSize,pctVacantForSale,pctVacantForRent,pctUnits20up,pctBuilt1990_1999,pctBuilt1980_1989,pctBuilt1970_1979,pctBuilt1960_1969,pctBuilt1950_1959,pctBuilt1940_1949,pctBuiltBefore1940,pctPersonsPerRoomLow,pctPersonsPerRoomMedium,pctPersonsPerRoomHigh,MedianHValue,MedianGrossRent
  ,Total housing units ,pctOccHUs ,pctOwnerOcc ,pctRenterOcc ,Average household size of owner-occupied unit ,Average household size of renter-occupied unit ,pctVacantForSale ,pctVacantForRent ,pctUnits20up,pctBuilt1990_1999,pctBuilt1980_1989,pctBuilt1970_1979,pctBuilt1960_1969,pctBuilt1950_1959,pctBuilt1940_1949,pctBuiltBefore1940,pctPersonsPerRoomLow ,pctPersonsPerRoomMedium ,pctPersonsPerRoomHigh ,Median home value ,Median rent 
10044,5203.00,90.60,11.10,88.90,1.81,2.23,0.00,38.50,95.50,3.60,14.80,38.90,3.10,1.60,0.20,4.70,90.60,4.00,5.40,598900.00,2001.00
10065,23103.00,75.30,31.20,68.80,1.89,1.77,6.00,20.90,84.40,2.30,6.20,6.90,25.50,16.50,7.90,31.80,98.00,0.80,1.20,1000001.00,2001.00
10069,3918.00,72.00,23.90,76.10,2.26,1.86,7.00,0.00,98.20,28.80,1.20,1.50,0.00,0.70,0.00,1.30,98.20,0.00,1.80,1000001.00,2001.00
10075,16508.00,82.20,44.00,56.00,1.87,1.67,2.40,20.00,78.80,2.80,5.70,11.60,17.80,15.20,5.70,39.80,96.40,2.60,1.10,806900.00,1965.00
10103,0.00,,,,,,,,,,,,,,,,,,,,
10110,0.00,,,,,,,,,,,,,,,,,,,,
10111,0.00,,,,,,,,,,,,,,,,,,,,
10112,0.00,,,,,,,,,,,,,,,,,,,,
10115,0.00,,,,,,,,,,,,,,,,,,,,
10119,0.00,,,,,,,,,,,,,,,,,,,,
10128,35819.00,89.10,30.10,69.90,2.21,1.83,5.00,19.40,78.40,6.90,13.20,16.60,11.50,7.90,4.60,34.90,96.90,1.70,1.40,1000001.00,1901.00
10152,0.00,,,,,,,,,,,,,,,,,,,,
10153,0.00,,,,,,,,,,,,,,,,,,,,
10154,0.00,,,,,,,,,,,,,,,,,,,,
10162,846.00,78.00,0.00,100.00,,1.90,0.00,0.00,98.70,0.00,0.00,13.10,79.00,0.00,3.20,4.70,86.50,13.50,0.00,,2001.00
10165,0.00,,,,,,,,,,,,,,,,,,,,
10167,0.00,,,,,,,,,,,,,,,,,,,,
10168,0.00,,,,,,,,,,,,,,,,,,,,
10169,0.00,,,,,,,,,,,,,,,,,,,,
10170,0.00,,,,,,,,,,,,,,,,,,,,
10171,0.00,,,,,,,,,,,,,,,,,,,,
10172,0.00,,,,,,,,,,,,,,,,,,,,
10173,0.00,,,,,,,,,,,,,,,,,,,,
10174,0.00,,,,,,,,,,,,,,,,,,,,
10177,0.00,,,,,,,,,,,,,,,,,,,,
10199,0.00,,,,,,,,,,,,,,,,,,,,
