esriid,FamsWithKids,pctFamsWithKids,pctSingleFathers,pctSingleMothers,HHsWithKids,pctHHsWithKids,AvgFamSize,pctLessThan9th,pctSomeHighSchool,pctHighSchool,pctSomeCollege,pctAssociates,pctBachelors,pctGradProf,pctHighSchoolOrMore,pctBachelorsormore,pctVeteran,pctUSNative,pctBornInUS,pctOthLangEnglishLTD,pctSpanishEnglishLTD
  ,With own children under 18 years,pctFamsWithKids ,pctSingleFathers ,pctSingleMothers ,Households with one or more people under 18 years,pctHHsWithKids ,Average family size ,pctLessThan9th,pctSomeHighSchool ,pctHighSchool ,pctSomeCollege ,pctAssociates ,pctBachelors ,pctGradProf ,pctHighSchoolOrMore ,pctBachelorsormore ,pctVeteran ,pctUSNative ,pctBornInUS ,pctOthLangEnglishLTD ,pctSpanishEnglishLTD
10475,3863.00,21.20,1.50,10.40,4402.00,24.10,3.34,7.90,7.80,27.30,24.00,7.80,15.70,9.40,84.30,25.20,6.40,75.10,89.60,32.20,32.20
11004,1130.00,22.30,0.80,3.10,1307.00,25.80,3.49,4.90,5.30,28.80,12.60,7.70,22.80,17.90,89.70,40.80,5.10,64.40,98.70,37.50,40.70
11005,0.00,0.00,0.00,0.00,0.00,0.00,2.01,0.80,2.10,17.70,27.20,3.30,24.10,24.90,97.20,49.00,18.10,88.20,98.50,26.00,33.30
11101,2138.00,18.60,0.80,8.00,2361.00,20.50,2.99,9.10,10.40,21.60,14.00,5.10,24.40,15.50,80.50,39.90,3.10,60.00,95.20,45.50,48.50
11102,2909.00,21.00,1.30,4.60,3263.00,23.60,3.27,11.00,9.00,21.10,12.80,5.30,28.10,12.60,80.00,40.70,2.00,55.70,94.60,42.60,49.90
11103,2559.00,15.70,0.90,3.10,2810.00,17.20,3.09,9.50,5.40,21.10,11.60,8.10,29.50,14.80,85.10,44.30,2.40,55.10,95.50,48.10,50.90
11104,2441.00,21.20,1.90,3.50,2653.00,23.00,3.18,6.70,6.10,24.20,11.70,9.60,28.10,13.50,87.20,41.60,2.10,47.50,95.60,57.20,54.50
11105,2960.00,19.00,0.90,3.20,3195.00,20.50,3.08,9.50,6.20,19.40,13.60,6.30,29.20,15.80,84.30,45.00,2.50,63.20,95.00,37.50,42.10
11106,3194.00,18.80,1.50,4.90,3462.00,20.40,3.02,9.20,7.70,21.20,14.00,6.40,26.40,15.10,83.10,41.50,2.70,57.60,92.70,45.50,50.60
11109,312.00,12.90,0.00,0.00,312.00,12.90,2.54,0.00,0.00,4.10,9.70,3.60,35.60,47.00,100.00,82.60,2.80,62.40,95.10,14.60,27.30
11201,4609.00,18.50,0.60,3.60,4977.00,20.00,2.88,3.40,4.30,10.50,9.60,3.30,33.50,35.40,92.30,68.90,2.30,80.00,95.30,29.20,28.40
11203,7058.00,26.00,2.00,12.40,9039.00,33.30,3.45,7.80,7.50,34.60,21.40,8.60,13.40,6.60,84.70,20.10,2.30,47.20,97.00,42.10,39.40
11204,8507.00,34.20,1.70,3.80,9455.00,38.00,3.78,15.00,12.60,31.10,11.50,5.00,16.50,8.30,72.40,24.80,1.60,53.60,96.80,57.60,62.60
11205,4398.00,29.10,1.30,9.20,4908.00,32.50,3.58,7.60,11.10,21.40,13.80,4.30,22.70,19.00,81.30,41.70,3.00,80.20,95.40,38.20,43.00
11206,8242.00,28.40,1.30,12.90,9564.00,33.00,3.61,16.40,15.50,25.50,16.30,4.90,15.80,5.50,68.00,21.30,2.00,78.20,88.90,44.90,44.20
11207,11167.00,35.30,2.70,21.40,13594.00,43.00,3.51,14.00,14.50,34.30,16.50,7.80,8.70,4.10,71.40,12.80,2.40,68.00,92.80,37.80,37.30
11208,11413.00,39.30,3.20,19.50,13668.00,47.10,3.74,11.00,11.60,47.10,13.70,5.20,8.30,3.10,77.40,11.40,1.80,62.50,92.60,33.10,32.10
11209,7556.00,24.40,1.20,3.70,8090.00,26.20,3.24,6.30,6.80,22.60,14.60,5.80,25.40,18.60,86.90,44.00,3.70,67.00,95.80,41.30,36.00
11210,6834.00,31.20,1.40,9.40,7979.00,36.40,3.74,6.00,5.30,32.50,16.50,7.00,20.60,12.20,88.80,32.80,1.70,60.10,97.20,61.40,54.30
11211,8989.00,24.70,1.60,4.40,9794.00,26.90,3.52,9.30,9.90,19.40,14.60,3.50,28.50,14.80,80.80,43.30,1.70,79.80,93.10,39.20,40.90
11212,10450.00,34.10,2.40,24.30,12808.00,41.70,3.35,10.00,15.50,36.90,19.40,7.10,8.30,2.80,74.60,11.10,2.30,66.70,96.20,40.00,38.80
11213,6996.00,29.60,2.80,12.70,8449.00,35.70,3.51,9.00,12.50,32.10,19.40,6.60,12.80,7.60,78.60,20.40,2.00,63.30,95.10,40.80,44.00
11214,9195.00,29.40,1.10,4.80,9844.00,31.40,3.39,13.90,12.60,31.00,10.60,6.10,17.10,8.60,73.50,25.70,2.90,46.10,95.00,69.50,64.10
11215,7861.00,27.10,1.50,4.30,8335.00,28.80,3.04,4.00,4.20,9.10,9.40,3.10,35.10,35.20,91.90,70.30,2.20,82.20,95.60,31.70,36.50
11216,4217.00,18.20,1.20,10.10,5440.00,23.40,3.16,5.80,10.50,24.30,16.00,5.60,23.30,14.50,83.70,37.80,3.20,72.40,96.40,36.20,36.00
11217,3516.00,21.10,0.90,5.10,3970.00,23.80,3.02,6.30,6.40,11.20,10.20,3.60,33.00,29.40,87.30,62.30,2.50,81.40,92.00,35.70,39.30
11218,8543.00,34.40,1.90,6.10,9265.00,37.30,3.77,11.50,8.40,22.10,11.50,6.00,22.20,18.20,80.10,40.40,1.70,61.90,95.20,54.60,57.50
11219,11718.00,44.00,1.40,3.90,12635.00,47.50,4.22,20.30,14.60,34.00,10.50,4.30,11.10,5.20,65.10,16.20,1.10,61.00,97.00,56.00,63.50
11220,11236.00,37.90,3.00,10.10,12835.00,43.30,3.79,27.60,20.20,21.50,8.00,4.40,12.50,5.90,52.30,18.40,1.70,45.20,89.50,67.10,58.40
11221,8402.00,29.20,2.70,15.40,10755.00,37.40,3.65,14.30,15.50,27.60,16.50,5.80,13.80,6.40,70.20,20.20,2.80,73.10,91.30,43.80,43.60
11222,2119.00,12.70,0.60,1.50,2370.00,14.20,2.87,5.20,4.20,17.30,13.20,6.00,34.50,19.60,90.60,54.00,2.10,68.40,95.80,46.70,41.80
11223,8061.00,29.50,1.10,5.50,8980.00,32.90,3.45,11.50,12.10,32.30,12.10,6.50,16.90,8.60,76.40,25.50,3.30,53.20,96.10,60.90,55.20
11224,3549.00,19.60,1.10,9.00,4074.00,22.40,3.10,10.00,10.30,27.50,13.80,7.70,20.30,10.40,79.70,30.80,2.80,54.90,92.30,63.40,46.40
11225,5117.00,22.50,2.20,9.30,6594.00,28.90,3.45,6.30,10.00,26.90,20.10,6.40,18.70,11.50,83.70,30.20,2.50,59.20,97.30,39.60,32.70
11226,9858.00,27.40,2.30,13.80,12396.00,34.40,3.44,9.60,10.80,32.40,18.80,5.60,15.50,7.20,79.50,22.70,2.10,49.60,96.00,43.70,47.20
11228,4917.00,32.30,0.70,4.30,5416.00,35.50,3.59,13.60,9.10,29.20,11.80,6.40,18.20,11.60,77.30,29.80,3.80,62.30,95.80,51.40,41.60
11229,8394.00,27.10,1.30,4.90,8922.00,28.80,3.28,8.50,6.70,29.40,12.10,6.90,22.90,13.40,84.70,36.30,2.70,55.60,97.00,53.90,34.40
11230,9163.00,30.30,0.90,4.50,9863.00,32.60,3.65,9.50,8.00,24.40,13.10,8.00,21.70,15.30,82.50,37.00,1.70,57.00,95.90,59.90,59.60
11231,3701.00,24.20,1.50,6.00,4046.00,26.50,2.94,4.90,7.30,15.90,9.90,3.00,33.50,25.50,87.80,59.00,3.10,83.10,93.60,32.30,35.90
11232,3231.00,37.10,4.90,9.00,3676.00,42.30,3.56,21.70,14.30,24.70,13.10,4.60,12.10,9.60,64.00,21.70,2.00,57.60,88.30,55.20,52.30
11233,8340.00,31.60,3.90,18.10,10012.00,37.90,3.24,9.30,15.50,32.00,17.70,6.30,13.40,5.70,75.20,19.20,3.90,75.70,97.30,36.40,39.80
