SumLev,state,esriid,AreaName,TotHHs,HHInc0,pctHHInc0,HHInc10,pctHHInc10,HHInc15,pctHHInc15,HHInc25,pctHHInc25,HHInc35,pctHHInc35,HHInc50,pctHHInc50,HHInc75,pctHHInc75,HHInc100,pctHHInc100,HHInc150,pctHHInc150,HHInc200,pctHHInc200,NumHHEarnings,pctNumHHEarnings,NumHHSocSec,pctNumHHSocSec,NumHHRetInc,pctNumHHRetInc,NumHHSuppSecInc,pctNumHHSuppSecInc,NumHHPubAssist,pctNumHHPubAssist,NumHHFoodStmp,pctNumHHFoodStmp,MedianHHInc,AvgHHInc,AvgHHEarnings,AvgHHSocSec,AvgHHRetInc,AvgHHSuppSecInc,AvgHHPubAssist,FamHHs,pctFamHHs,FamHHInc0,pctFamHHInc0,FamHHInc10,pctFamHHInc10,FamHHInc15,pctFamHHInc15,FamHHInc25,pctFamHHInc25,FamHHInc35,pctFamHHInc35,FamHHInc50,pctFamHHInc50,FamHHInc75,pctFamHHInc75,FamHHInc100,pctFamHHInc100,FamHHInc150,pctFamHHInc150,FamHHInc200,pctFamHHInc200,MedianFamInc,AvgFamInc,PCI,NonFamHHs,pctNonFamHHs,MedianNonFamInc,AvgNonFamInc,FullTimeWorkers,FullTimeWorkersMale,pctFullTimeWorkersMale,FullTimeWorkersFemale,pctFullTimeWorkersFemale,MedianEarnings,MedianEarningsMale,MedianEarningsFemale,PovUniverse,Poor,pctPoor,PovUniverseUnder18,PoorUnder18,pctPoorUnder18,PovUniverse18_64,Poor18to64,pctPoor18to64,PovUniverseOver65,PoorOver65,pctPoorOver65,PovUniverseFamilyPop,pctFamilyPopPoor,PovUniverseUnrelated,PoorInFamily,pctPoorInFamily,PoorUnrelated,pctPoorUnrelated,PovRatioUnderHalf,pctPovRatioUnderHalf,PovRatiov5tov99,pctPovRatiov5tov99,PovRatio1to2,pctPovRatio1to2,PovRatioOver2,pctPovRatioOver2,Over16,LaborForce,pctLaborForce,CivLabForce,pctCivLabForce,EmployedCLF,pctEmployedCLF,UnemployedCLF,pctUnemployedCLF,Military,pctMilitary,NotInLF,pctNotInLF,Over16Females,pctOver16Females,LaborForceFemales,pctLaborForceFemales,CivLabForceFemales,pctCivLabForceFemales,EmployedFemales,pctEmployedFemales,OwnKidsUnder6,OwnKidsU6AllPrntsWk,pctOwnKidsU6AllPrntsWk,OwnKidsOver6,OwnKidsO6AllPrntsWk,pctOwnKidsO6AllPrntsWk,Agriculture,pctAgriculture,Construction,pctConstruction,Manufacturing,pctManufacturing,WholesaleTrade,pctWholesaleTrade,RetailTrade,pctRetailTrade,Transportation,pctTransportation,Information,pctInformation,Finance_Ins,pctFinance_Ins,Professional,pctProfessional,Educ_Health_SocSvcs,pctEduc_Health_SocSvcs,RecreationEtc,pctRecreationEtc,OtherIndustries,pctOtherIndustries,PublicAdmin,pctPublicAdmin,PrivWageWorkers,pctPrivWageWorkers,GovWorkers,pctGovWorkers,SelfEmpWorkers,pctSelfEmpWorkers,UnpaidFamWorkers,pctUnpaidFamWorkers,TotPopNonInst,NonInstUnder65,pctNonInstUnder65,NotInsuredUnder65,pctNotInsuredUnder65,NonInstUnder18,pctNonInstUnder18,NotInsuredUnder18,pctNotInsuredUnder18
" " ,"Primary state" ," " ," " ,"Total households" ,"Less than $10000" ,"pctHHInc0" ,"$10000 to $14999" ,"pctHHInc10" ,"$15000 to $24999" ,"pctHHInc15" ,"$25000 to $34999" ,"pctHHInc25" ,"$35000 to $49999" ,"pctHHInc35" ,"$50000 to $74999" ,"pctHHInc50" ,"$75000 to $99999" ,"pctHHInc75" ,"$100000 to $149999" ,"pctHHInc100" ,"$150000 to $199999" ,"pctHHInc150" ,"$200000 or more" ,"pctHHInc200" ,"With earnings" ,"pctNumHHEarnings" ,"With social security" ,"pctNumHHSocSec" ,"With retirement income" ,"pctNumHHRetInc" ,"With supplemental security income" ,"pctNumHHSuppSecInc" ,"With cash public assistance income" ,"pctNumHHPubAssist" ,"With food stamp benefits in the past 12 months" ,"pctNumHHFoodStmp" ,"Median household income" ,"Mean household income" ,"Mean household earnings" ,"Mean household social security income" ,"Mean household retirement income" ,"Mean household supplemental security income" ,"Mean household cash public assistance income" ,"Family households" ,"pctFamHHs" ,"Less than $10000" ,"pctFamHHInc0" ,"$10000 to $14999" ,"pctFamHHInc10" ,"$15000 to $24999" ,"pctFamHHInc15" ,"$25000 to $34999" ,"pctFamHHInc25" ,"$35000 to $49999" ,"pctFamHHInc35" ,"$50000 to $74999" ,"pctFamHHInc50" ,"$75000 to $99999" ,"pctFamHHInc75" ,"$100000 to $149999" ,"pctFamHHInc100" ,"$150000 to $199999" ,"pctFamHHInc150" ,"$200000 or more" ,"pctFamHHInc200" ,"Median family income" ,"Mean family income" ,"Per-capita income" ,"Nonfamily households" ,"pctNonFamHHs" ,"Median nonfamily income" ,"Mean nonfamily income" ,"All full-time workers" ,"All male full-time workers" ,"pctFullTimeWorkersMale" ,"All female full-time workers" ,"pctFullTimeWorkersFemale" ,"Median earnings for workers" ,"Median earnings for male full-time year-round workers" ,"Median earnings for female full-time year-round workers" ,"Persons for whom poverty status is determined" ,"Persons below poverty" ,"pctPoor" ,"Persons under 18 for whom poverty status is determined" ,"Persons under 18 in poverty" ,"pctPoorUnder18" ,"Persons aged 18 to 64 for whom poverty status is determined" ,"Persons aged 18 to 64 in poverty" ,"pctPoor18to64" ,"Persons over 65 for whom poverty status is determined" ,"Persons over 65 in poverty" ,"pctPoorOver65" ,"Persons in families for whom poverty status is determined" ,"pctFamilyPopPoor" ,"Unrelated individuals for whom poverty status is determined" ,"Persons in families in poverty" ,"pctPoorInFamily" ,"Unrelated persons in poverty 15 years and over" ,"pctPoorUnrelated" ,"Poverty ratio under 0.5" ,"pctPovRatioUnderHalf" ,"Poverty ratio in 0.5 to 0.99" ,"pctPovRatiov5tov99" ,"Poverty ratio in 1 to 2" ,"pctPovRatio1to2" ,"Poverty ratio in 2 and over" ,"pctPovRatioOver2" ,"Population 16 years and over" ,"In labor force" ,"pctLaborForce" ,"Civilian labor force" ,"pctCivLabForce" ,"Employed civilians" ,"pctEmployedCLF" ,"Unemployed civilians" ,"pctUnemployedCLF" ,"In military" ,"pctMilitary" ,"Not in labor force" ,"pctNotInLF" ,"Females 16 years and over" ,"pctOver16Females" ,"Females in labor force" ,"pctLaborForceFemales" ,"Females in civilian labor force" ,"pctCivLabForceFemales" ,"Employed females" ,"pctEmployedFemales" ,"(Own) children under 6" ,"All parents working" ,"pctOwnKidsU6AllPrntsWk" ,"(Own) children aged 6 to 17" ,"All parents working" ,"pctOwnKidsO6AllPrntsWk" ,"Agriculture forestry fishing and hunting and mining" ,"pctAgriculture" ,"Construction" ,"pctConstruction" ,"Manufacturing" ,"pctManufacturing" ,"Wholesale trade" ,"pctWholesaleTrade" ,"Retail trade" ,"pctRetailTrade" ,"Transportation and warehousing and utilities" ,"pctTransportation" ,"Information" ,"pctInformation" ,"Finance and insurance and real estate and rental and leasing" ,"pctFinance_Ins" ,"Professional scientific management and administrative" ,"pctProfessional" ,"Educational services and health care and social assistance" ,"pctEduc_Health_SocSvcs" ,"Arts entertainment and recreation and accommodation and food services" ,"pctRecreationEtc" ,"Other services except public administration" ,"pctOtherIndustries" ,"Public administration" ,"pctPublicAdmin" ,"Private wage and salary workers" ,"pctPrivWageWorkers" ,"Government workers" ,"pctGovWorkers" ,"Self-employed workers in own not incorporated business" ,"pctSelfEmpWorkers" ,"Unpaid family workers" ,"pctUnpaidFamWorkers" ,"Civilian noninstitutionalized persons" ,"Under 65 years of age" ,"pctNonInstUnder65" ,"Without insurance coverage" ,"pctNotInsuredUnder65" ,"Under 18 years of age" ,"pctNonInstUnder18" ,"Without insurance coverage" ,"pctNotInsuredUnder18"
860,36,10001,ZCTA5 10001,"11,169",894,8.0,463,4.1,978,8.8,594,5.3,"1,193",10.7,"1,059",9.5,"1,253",11.2,"1,369",12.3,"1,076",9.6,"2,290",20.5,"8,996",80.5,"2,064",18.5,"1,085",9.7,568,5.1,223,2.0,"1,092",9.8,"$81,445","$151,316","$159,847","$16,927","$23,470","$6,969","$5,617","3,348",30.0,110,3.3,103,3.1,383,11.4,75,2.2,290,8.7,373,11.1,582,17.4,286,8.5,289,8.6,857,25.6,"$90,456","$174,333","$77,512","7,821",70.0,"$75,091","$140,636","9,478","5,808",61.3,"3,670",38.7,"$57,325","$98,297","$75,766","21,702","4,125",19.0,"2,605","1,335",51.2,"16,705","2,318",13.9,"2,392",472,19.7,"10,419",48.0,"11,283","2,149",20.6,"1,976",17.5,"2,552",11.8,"1,573",7.2,"2,203",10.2,"15,374",70.8,"20,430","14,547",71.2,"14,547",71.2,"13,276",91.3,"1,271",8.7,0,0.0,"5,883",28.8,"10,050",49.2,"6,111",29.9,"6,111",29.9,"5,409",88.5,"1,053",505,48.0,"1,409",475,33.7,10,0.1,161,1.2,435,3.3,162,1.2,"1,060",8.0,213,1.6,925,7.0,"3,234",24.4,"2,853",21.5,"1,759",13.2,"1,648",12.4,590,4.4,226,1.7,"11,266",84.9,734,5.5,"1,252",9.4,24,0.2,"22,767","20,375",89.5,"1,958",9.6,"2,654",11.7,2,0.1
860,36,10002,ZCTA5 10002,"32,550","5,110",15.7,"3,651",11.2,"5,116",15.7,"2,991",9.2,"3,227",9.9,"4,491",13.8,"2,250",6.9,"2,989",9.2,952,2.9,"1,773",5.4,"22,046",67.7,"10,362",31.8,"4,050",12.4,"4,655",14.3,"1,825",5.6,"9,969",30.6,"$32,966","$60,564","$75,330","$11,766","$15,461","$7,658","$3,861","17,454",53.6,"1,695",9.7,"1,956",11.2,"2,880",16.5,"2,188",12.5,"2,261",13.0,"2,666",15.3,"1,334",7.6,"1,349",7.7,397,2.3,728,4.2,"$35,062","$58,384","$26,905","15,096",46.4,"$25,420","$61,424","23,581","12,924",54.8,"10,657",45.2,"$29,518","$49,462","$40,836","79,255","21,803",27.5,"12,335","4,405",35.7,"53,240","12,923",24.3,"13,680","4,475",32.7,"57,551",72.6,"21,704","15,320",26.6,"6,483",29.9,"7,247",9.1,"14,556",18.4,"21,152",26.7,"36,300",45.8,"69,196","38,947",56.3,"38,902",56.2,"34,605",89.0,"4,297",11.0,45,0.1,"30,249",43.7,"36,006",52.0,"18,424",26.6,"18,379",26.6,"16,732",91.0,"3,824","2,608",68.2,"7,959","5,479",68.8,12,0.0,933,2.7,"1,649",4.8,978,2.8,"3,565",10.3,"1,287",3.7,"1,733",5.0,"3,658",10.6,"5,377",15.5,"7,103",20.5,"6,158",17.8,"1,589",4.6,563,1.6,"28,688",82.9,"2,857",8.3,"3,004",8.7,56,0.2,"79,490","65,810",82.8,"8,850",13.4,"12,409",15.6,369,3.0
860,36,10003,ZCTA5 10003,"27,564","1,765",6.4,587,2.1,"1,868",6.8,"1,338",4.9,"1,865",6.8,"3,484",12.6,"3,183",11.5,"4,356",15.8,"3,320",12.0,"5,798",21.0,"23,348",84.7,"4,778",17.3,"2,284",8.3,323,1.2,202,0.7,936,3.4,"$97,524","$156,983","$159,651","$19,149","$30,798","$12,550","$5,052","7,396",26.8,192,2.6,110,1.5,219,3.0,256,3.5,397,5.4,658,8.9,846,11.4,"1,119",15.1,"1,061",14.3,"2,538",34.3,"$145,411","$235,158","$79,088","20,168",73.2,"$85,774","$127,659","24,863","13,323",53.6,"11,540",46.4,"$62,188","$103,524","$79,587","48,517","4,950",10.2,"3,664",238,6.5,"38,905","4,127",10.6,"5,948",585,9.8,"18,902",39.0,"29,615",736,3.9,"4,214",14.2,"3,095",6.4,"1,855",3.8,"4,157",8.6,"39,410",81.2,"53,620","37,390",69.7,"37,390",69.7,"34,937",93.4,"2,453",6.6,0,0.0,"16,230",30.3,"28,079",52.4,"18,433",34.4,"18,433",34.4,"17,119",92.9,"1,803","1,104",61.2,"1,790","1,037",57.9,34,0.1,454,1.3,"1,006",2.9,735,2.1,"2,558",7.3,367,1.1,"3,504",10.0,"6,920",19.8,"8,355",23.9,"5,837",16.7,"3,273",9.4,"1,331",3.8,563,1.6,"29,845",85.4,"2,010",5.8,"3,061",8.8,21,0.1,"56,909","50,961",89.5,"3,722",7.3,"3,909",6.9,134,3.4
860,36,10004,ZCTA5 10004,"1,580",33,2.1,20,1.3,62,3.9,73,4.6,71,4.5,100,6.3,206,13.0,350,22.2,163,10.3,502,31.8,"1,422",90.0,105,6.6,60,3.8,0,0.0,0,0.0,0,0.0,"$123,409","$181,042","$186,872","$25,867","$19,713",,,531,33.6,14,2.6,0,0.0,0,0.0,16,3.0,4,0.8,0,0.0,0,0.0,103,19.4,55,10.4,339,63.8,"$242,625","$297,990","$98,020","1,049",66.4,"$96,761","$121,414","1,805",972,53.9,833,46.1,"$101,566","$103,365","$108,980","3,024",259,8.6,465,80,17.2,"2,356",175,7.4,203,4,2.0,"1,525",50.4,"1,499",46,3.0,213,14.2,247,8.2,12,0.4,116,3.8,"2,649",87.6,"2,585","2,273",87.9,"2,273",87.9,"2,067",90.9,206,9.1,0,0.0,312,12.1,"1,266",49.0,"1,071",41.4,"1,071",41.4,986,92.1,112,94,83.9,292,257,88.0,0,0.0,36,1.7,90,4.4,49,2.4,264,12.8,9,0.4,184,8.9,525,25.4,549,26.6,245,11.9,59,2.9,23,1.1,34,1.6,"1,876",90.8,90,4.4,101,4.9,0,0.0,"3,024","2,821",93.3,244,8.6,465,15.4,15,3.2
860,36,10005,ZCTA5 10005,"4,100",313,7.6,34,0.8,152,3.7,69,1.7,82,2.0,441,10.8,513,12.5,799,19.5,554,13.5,"1,143",27.9,"3,793",92.5,72,1.8,0,0.0,20,0.5,0,0.0,0,0.0,"$121,840","$175,864","$187,011","$23,411",,"$7,870",,"1,056",25.8,2,0.2,0,0.0,10,0.9,0,0.0,0,0.0,22,2.1,126,11.9,240,22.7,150,14.2,506,47.9,"$196,776","$294,371","$99,633","3,044",74.2,"$104,123","$130,469","4,933","2,540",51.5,"2,393",48.5,"$81,130","$109,536","$71,419","7,565",778,10.3,600,9,1.5,"6,895",769,11.2,70,0,0.0,"2,688",35.5,"4,877",24,0.9,754,15.5,568,7.5,210,2.8,202,2.7,"6,585",87.0,"6,966","6,024",86.5,"6,020",86.4,"5,828",96.8,192,3.2,4,0.1,942,13.5,"3,709",53.2,"3,012",43.2,"3,012",43.2,"2,964",98.4,297,276,92.9,303,189,62.4,0,0.0,29,0.5,237,4.1,99,1.7,350,6.0,26,0.4,413,7.1,"1,812",31.1,"1,476",25.3,765,13.1,298,5.1,149,2.6,174,3.0,"5,246",90.0,418,7.2,164,2.8,0,0.0,"7,566","7,496",99.1,570,7.6,604,8.0,0,0.0
860,36,10006,ZCTA5 10006,"1,686",112,6.6,76,4.5,16,0.9,19,1.1,78,4.6,176,10.4,169,10.0,422,25.0,134,7.9,484,28.7,"1,620",96.1,0,0.0,0,0.0,0,0.0,27,1.6,0,0.0,"$121,316","$161,202","$163,900",,,,$415,456,27.0,14,3.1,0,0.0,0,0.0,0,0.0,0,0.0,20,4.4,14,3.1,157,34.4,38,8.3,213,46.7,"$177,300","$213,649","$97,226","1,230",73.0,"$100,759","$140,371","1,885","1,005",53.3,880,46.7,"$92,935","$104,659","$92,273","2,950",245,8.3,352,0,0.0,"2,598",245,9.4,0,0,,"1,209",41.0,"1,741",26,2.2,219,12.6,179,6.1,66,2.2,92,3.1,"2,613",88.6,"2,598","2,367",91.1,"2,367",91.1,"2,258",95.4,109,4.6,0,0.0,231,8.9,"1,399",53.8,"1,195",46.0,"1,195",46.0,"1,096",91.7,268,136,50.7,84,84,100.0,0,0.0,17,0.8,53,2.3,66,2.9,120,5.3,40,1.8,66,2.9,647,28.7,611,27.1,262,11.6,211,9.3,95,4.2,70,3.1,"2,056",91.1,114,5.0,88,3.9,0,0.0,"2,950","2,950",100.0,178,6.0,352,11.9,0,0.0
860,36,10007,ZCTA5 10007,"2,646",72,2.7,17,0.6,16,0.6,23,0.9,94,3.6,231,8.7,128,4.8,161,6.1,411,15.5,"1,493",56.4,"2,512",94.9,110,4.2,141,5.3,14,0.5,0,0.0,28,1.1,"$250,001","$430,777","$415,435","$19,731","$73,587","$4,514",,"1,361",51.4,29,2.1,0,0.0,16,1.2,23,1.7,37,2.7,51,3.7,24,1.8,32,2.4,136,10.0,"1,013",74.4,"$250,001","$582,466","$173,257","1,285",48.6,"$155,190","$269,742","3,217","1,975",61.4,"1,242",38.6,"$109,964","$250,001","$153,533","5,839",174,3.0,"1,265",13,1.0,"4,393",141,3.2,181,20,11.0,"3,950",67.6,"1,889",55,1.4,119,6.3,86,1.5,88,1.5,168,2.9,"5,497",94.1,"5,631","3,924",69.7,"3,924",69.7,"3,770",96.1,154,3.9,0,0.0,"1,707",30.3,"2,467",43.8,"1,778",31.6,"1,778",31.6,"1,652",92.9,483,267,55.3,774,595,76.9,0,0.0,59,1.6,122,3.2,149,4.0,111,2.9,0,0.0,85,2.3,"1,351",35.8,"1,072",28.4,482,12.8,216,5.7,91,2.4,32,0.8,"3,343",88.7,160,4.2,267,7.1,0,0.0,"6,006","5,825",97.0,183,3.1,"1,265",21.1,0,0.0
860,36,10009,ZCTA5 10009,"29,860","3,379",11.3,"2,225",7.5,"2,835",9.5,"2,159",7.2,"2,645",8.9,"3,834",12.8,"3,684",12.3,"4,349",14.6,"2,111",7.1,"2,639",8.8,"22,755",76.2,"6,490",21.7,"3,208",10.7,"2,253",7.5,"1,189",4.0,"4,956",16.6,"$61,154","$86,010","$99,435","$14,675","$22,658","$9,323","$3,659","11,321",37.9,728,6.4,752,6.6,"1,174",10.4,"1,121",9.9,"1,190",10.5,"1,307",11.5,946,8.4,"1,573",13.9,899,7.9,"1,631",14.4,"$62,253","$104,943","$44,714","18,539",62.1,"$58,576","$72,940","25,455","13,186",51.8,"12,269",48.2,"$50,064","$65,833","$61,738","61,569","12,814",20.8,"6,751","2,080",30.8,"46,691","8,797",18.8,"8,127","1,937",23.8,"33,501",54.4,"28,068","6,626",19.8,"6,188",22.0,"6,203",10.1,"6,611",10.7,"9,906",16.1,"38,849",63.1,"56,039","37,023",66.1,"36,990",66.0,"34,755",94.0,"2,235",6.0,33,0.1,"19,016",33.9,"30,784",54.9,"19,290",34.4,"19,290",34.4,"18,268",94.7,"1,979","1,433",72.4,"4,332","2,833",65.4,0,0.0,599,1.7,"1,023",2.9,981,2.8,"2,676",7.7,809,2.3,"2,541",7.3,"4,033",11.6,"7,404",21.3,"7,450",21.4,"4,676",13.5,"1,357",3.9,"1,206",3.5,"27,403",78.8,"4,102",11.8,"3,212",9.2,38,0.1,"61,562","53,435",86.8,"6,799",12.7,"6,773",11.0,371,5.5
860,36,10010,ZCTA5 10010,"16,019","1,236",7.7,653,4.1,824,5.1,668,4.2,903,5.6,"2,025",12.6,"1,637",10.2,"2,593",16.2,"1,499",9.4,"3,981",24.9,"12,954",80.9,"3,160",19.7,"1,794",11.2,678,4.2,368,2.3,853,5.3,"$100,763","$150,684","$163,529","$17,997","$36,950","$9,118","$1,583","4,582",28.6,135,2.9,97,2.1,77,1.7,72,1.6,255,5.6,378,8.2,437,9.5,665,14.5,630,13.7,"1,836",40.1,"$162,550","$220,565","$81,938","11,437",71.4,"$82,461","$122,508","14,242","7,197",50.5,"7,045",49.5,"$71,549","$113,595","$88,867","28,530","3,859",13.5,"2,254",193,8.6,"22,416","3,211",14.3,"3,860",455,11.8,"12,180",42.7,"16,350",566,4.6,"3,293",20.1,"2,497",8.8,"1,362",4.8,"1,612",5.7,"23,059",80.8,"28,487","20,062",70.4,"19,994",70.2,"18,703",93.5,"1,291",6.5,68,0.2,"8,425",29.6,"15,108",53.0,"10,149",35.6,"10,149",35.6,"9,361",92.2,"1,091",718,65.8,"1,146",928,81.0,0,0.0,186,1.0,333,1.8,370,2.0,"1,261",6.7,245,1.3,"1,620",8.7,"4,357",23.3,"4,276",22.9,"3,429",18.3,"1,270",6.8,791,4.2,565,3.0,"16,126",86.2,"1,325",7.1,"1,204",6.4,48,0.3,"30,615","26,755",87.4,"1,621",6.1,"2,356",7.7,10,0.4
